"BusinessID","BusinessName","Industry","Location","FounderAge","YearsInOperation","MonthlyRevenue","TotalFunding","EmployeeCount","CustomerCount","SuccessScore","GrowthRate","RegistrationDate"
"131","Biz_9293","Healthcare","Leribe","25","1","109539","56219","3","195","7","1.25","2024-12-01"
"132","Biz_0132","Retail","Maseru","34","1","31163","43601","5","328","10","1.34","2021-07-02"
"133","Biz_5529","Healthcare","Berea","21","7","33499","11489","9","31","40","0.22","2025-08-04"
"134","Biz_8104","Agriculture","Maseru","21","5","44200","44815","17","24","44","0.75","2021-01-04"
"135","Biz_9270","Healthcare","Maseru","19","5","49621","142174","3","78","69","0.29","2021-08-12"
"136","Biz_1623","Education","Mafeteng","28","6","105287","91363","13","159","21","1.15","2024-09-14"
"137","Biz_4787","Retail","Leribe","28","3","198748","110883","15","401","51","0.65","2025-08-11"
"138","Biz_7400","Agriculture","Berea","23","3","133371","108822","5","24","48","0.85","2025-01-12"
"139","Biz_4421","Education","Leribe","24","2","127646","100074","19","258","95","0.5","2024-05-18"
"140","Biz_4861","Healthcare","Maseru","18","7","67661","103362","13","350","57","0.33","2023-04-01"
"141","Biz_6167","Retail","Maseru","26","1","60222","132654","12","380","23","0.45","2025-02-02"
"142","Biz_6706","Education","Maseru","21","7","182489","44278","9","414","58","0.62","2023-07-08"
"143","Biz_3119","Technology","Leribe","18","6","136674","128935","11","194","63","0.99","2024-03-08"
"144","Biz_4009","Healthcare","Leribe","32","1","9521","116555","7","124","16","0.65","2021-09-05"
"145","Biz_8453","Agriculture","Mafeteng","34","3","75818","135045","12","285","88","0.6","2023-02-28"
"146","Biz_1606","Retail","Mafeteng","24","6","84179","69020","19","302","99","1.54","2023-04-08"
"147","Biz_0120","Retail","Maseru","34","1","18524","93717","6","361","25","0.21","2023-11-17"
"148","Biz_8779","Healthcare","Mafeteng","28","1","150157","38611","7","26","14","1.09","2023-01-26"
"149","Biz_9421","Retail","Leribe","21","6","79082","20962","4","224","23","1.66","2023-05-15"
"150","Biz_0245","Retail","Mafeteng","21","1","37188","18625","10","216","62","1.16","2024-05-09"
"151","Biz_3279","Retail","Maseru","23","7","113154","47216","19","393","37","1.41","2023-08-15"
"152","Biz_7698","Education","Maseru","30","0","74465","79170","15","439","94","0.55","2022-12-21"
"153","Biz_0826","Technology","Berea","27","0","34397","114782","15","462","80","1.53","2023-12-04"
"154","Biz_4385","Technology","Mafeteng","22","6","181409","10971","15","269","84","1.58","2021-04-23"
"155","Biz_3303","Technology","Mafeteng","25","4","23987","35129","14","92","32","0.29","2022-12-30"
"156","Biz_1106","Retail","Mafeteng","27","5","138257","99745","8","110","44","1.69","2023-12-27"
"157","Biz_1269","Education","Leribe","24","3","108213","109164","18","446","49","1.94","2021-09-15"
"158","Biz_8454","Healthcare","Berea","25","0","180848","97241","3","445","97","0.66","2025-04-30"
"159","Biz_5341","Education","Berea","34","2","156255","45340","17","301","54","1.47","2021-04-25"
"160","Biz_2183","Retail","Berea","22","5","40932","74735","5","254","91","1.44","2024-08-30"
"161","Biz_4114","Technology","Berea","24","5","107881","102517","19","17","68","1.31","2023-07-03"
"162","Biz_3511","Agriculture","Mafeteng","23","0","165647","117072","14","184","26","1.81","2021-03-31"
"163","Biz_1754","Agriculture","Maseru","20","5","134084","84553","19","123","77","0.37","2024-05-19"
"164","Biz_3030","Retail","Mafeteng","19","3","166693","131121","4","274","74","0.92","2021-01-07"
"165","Biz_5893","Healthcare","Mafeteng","33","1","146933","39172","13","165","83","1.48","2023-11-16"
"166","Biz_5975","Education","Leribe","22","2","22536","61149","17","467","24","0.22","2024-11-01"
"167","Biz_5588","Education","Maseru","22","6","168813","108585","3","124","33","0.69","2022-06-28"
"168","Biz_6169","Healthcare","Mafeteng","29","4","160847","134821","6","100","5","0.25","2022-09-04"
"169","Biz_5136","Technology","Mafeteng","19","7","154202","88911","10","338","26","0.7","2023-08-18"
"170","Biz_5940","Healthcare","Leribe","24","0","138503","25365","14","424","94","0.47","2025-07-14"
"171","Biz_1586","Education","Maseru","27","6","172240","76502","2","441","49","1.04","2025-08-18"
"172","Biz_0335","Agriculture","Mafeteng","30","2","132553","128267","1","279","93","0.19","2021-04-12"
"173","Biz_1345","Healthcare","Mafeteng","28","7","66320","11430","5","14","51","1.1","2022-10-16"
"174","Biz_4732","Retail","Leribe","29","0","13770","43546","12","277","27","0.34","2023-05-14"
"175","Biz_3064","Retail","Berea","19","6","38524","11264","15","461","36","1.89","2023-11-11"
"176","Biz_7624","Education","Maseru","19","5","41284","25127","9","26","53","1.46","2024-09-25"
"177","Biz_3610","Technology","Maseru","19","1","12815","77969","15","465","12","1.55","2025-07-15"
"178","Biz_7761","Retail","Mafeteng","23","4","83670","48285","15","115","4","0.71","2022-03-14"
"179","Biz_3135","Technology","Maseru","32","6","107433","81026","2","183","87","1.71","2023-11-28"
"180","Biz_3765","Technology","Mafeteng","23","4","122087","17551","19","453","67","0.46","2023-08-16"
"181","Biz_9621","Healthcare","Maseru","22","6","116066","119160","9","224","27","1.96","2023-02-08"
"182","Biz_7134","Agriculture","Berea","26","4","195863","104730","17","497","77","1.85","2024-08-12"
"183","Biz_9339","Retail","Maseru","25","5","164952","14788","8","207","14","1.82","2024-08-03"
"184","Biz_1953","Agriculture","Leribe","31","0","40691","131858","1","231","11","0.06","2023-09-05"
"185","Biz_6513","Education","Berea","18","6","20362","54278","8","384","72","1.92","2025-04-04"
"186","Biz_5860","Education","Berea","31","7","151483","9963","15","252","22","1.71","2024-03-01"
"187","Biz_6376","Agriculture","Maseru","18","6","97999","14907","5","414","59","1.44","2024-07-21"
"188","Biz_5631","Education","Leribe","33","2","117380","107626","10","73","56","0.1","2022-02-09"
"189","Biz_3015","Technology","Mafeteng","20","5","53506","117145","8","493","77","1.31","2021-12-19"
"190","Biz_5256","Technology","Mafeteng","20","5","139369","1955","10","114","50","1.75","2023-01-01"
"191","Biz_0871","Agriculture","Berea","20","1","133823","56819","12","258","27","0.5","2021-02-18"
"192","Biz_3056","Education","Berea","29","7","192902","69909","8","302","47","0.85","2024-11-04"
"193","Biz_7860","Retail","Maseru","18","2","162166","105070","10","320","30","1.45","2021-12-16"
"194","Biz_5609","Technology","Leribe","33","4","188475","30650","4","102","52","1.46","2025-05-27"
"195","Biz_8658","Retail","Leribe","18","3","64947","70375","7","186","93","1.47","2025-09-01"
"196","Biz_5045","Agriculture","Mafeteng","25","1","59565","146111","9","396","92","1.31","2022-09-06"
"197","Biz_3776","Education","Mafeteng","31","6","80507","143716","4","350","14","0.71","2021-04-06"
"198","Biz_0958","Retail","Mafeteng","20","1","181980","68240","7","481","34","1.49","2022-11-25"
"199","Biz_6363","Technology","Leribe","23","6","50692","101450","8","266","2","1.35","2025-05-03"
"200","Biz_1869","Technology","Leribe","29","2","167332","18822","10","145","23","1.11","2025-02-10"
"201","Biz_4011","Retail","Leribe","33","2","73952","104036","12","246","61","1.57","2021-02-23"
"202","Biz_8855","Education","Mafeteng","19","0","5304","100130","8","146","14","1.76","2021-03-04"
"203","Biz_9326","Education","Mafeteng","25","5","181864","65607","7","102","82","0.17","2021-02-13"
"204","Biz_2527","Retail","Mafeteng","29","5","39063","17101","8","114","14","1.44","2022-05-24"
"205","Biz_0143","Retail","Maseru","34","3","93245","5504","14","129","78","1.77","2024-02-02"
"206","Biz_5911","Retail","Maseru","28","7","70710","34129","19","256","8","1.94","2024-07-16"
"207","Biz_3939","Agriculture","Mafeteng","25","7","197647","36924","10","229","41","0.19","2022-05-12"
"208","Biz_1744","Agriculture","Berea","28","5","182762","9643","7","328","66","0.36","2023-08-10"
"209","Biz_9419","Agriculture","Maseru","34","5","36928","71655","19","377","17","1.21","2023-01-13"
"210","Biz_8818","Retail","Maseru","21","0","121427","143360","5","150","15","1.74","2023-10-22"
"211","Biz_5770","Technology","Maseru","23","5","63704","46217","18","199","71","1.8","2024-07-02"
"212","Biz_9097","Agriculture","Berea","26","5","26121","146510","13","130","64","0.48","2025-10-19"
"213","Biz_0829","Healthcare","Berea","19","4","43498","47257","8","23","18","1.62","2021-04-29"
"214","Biz_4643","Healthcare","Berea","26","1","26688","34486","7","41","73","1.63","2021-05-15"
"215","Biz_7516","Agriculture","Maseru","22","6","105132","123852","3","421","43","0.96","2021-11-01"
"216","Biz_7140","Education","Mafeteng","22","0","33539","72630","17","476","5","1.89","2023-01-17"
"217","Biz_8450","Retail","Leribe","19","2","199470","130096","5","272","92","1.46","2024-11-18"
"218","Biz_8160","Healthcare","Mafeteng","19","0","17686","42489","19","7","81","0.78","2021-04-12"
"219","Biz_4163","Agriculture","Berea","21","2","147009","81727","15","86","84","1.32","2023-07-16"
"220","Biz_8395","Education","Mafeteng","25","3","139946","19492","6","34","89","0.36","2021-12-21"
"221","Biz_1369","Agriculture","Maseru","19","1","28132","37961","17","274","98","1.22","2025-05-11"
"222","Biz_2140","Retail","Mafeteng","34","6","94235","110032","19","242","65","1.19","2025-04-13"
"223","Biz_5038","Technology","Mafeteng","27","6","26676","117460","5","7","99","0.71","2022-02-01"
"224","Biz_6178","Retail","Berea","34","5","194729","99157","13","214","89","0.79","2024-03-05"
"225","Biz_8878","Education","Berea","33","0","16374","84198","6","482","97","1.88","2024-10-15"
"226","Biz_8926","Retail","Maseru","33","3","176570","134955","12","417","95","1.02","2023-01-09"
"227","Biz_4040","Technology","Mafeteng","31","7","23097","68232","18","325","33","1.09","2024-12-11"
"228","Biz_9212","Education","Maseru","20","2","50707","73811","4","397","85","0.13","2022-02-08"
"229","Biz_5023","Education","Leribe","18","4","169070","66398","13","316","26","1.31","2021-08-09"
"230","Biz_3951","Retail","Maseru","33","5","62566","30085","12","163","24","1.08","2021-11-29"
"231","Biz_8573","Technology","Leribe","33","3","161510","144525","12","209","76","1.52","2023-10-29"
"232","Biz_5011","Retail","Berea","30","0","122489","12287","8","339","73","0.85","2024-03-01"
"233","Biz_0327","Education","Maseru","29","7","27496","125013","5","134","56","0.36","2021-04-26"
"234","Biz_5085","Technology","Mafeteng","25","2","98910","139900","6","35","12","0.84","2021-11-05"
"235","Biz_3363","Retail","Maseru","18","6","132077","39690","15","473","86","0.85","2021-09-24"
"236","Biz_7835","Agriculture","Mafeteng","26","1","178568","24715","6","395","55","0.52","2025-03-21"
"237","Biz_1255","Retail","Leribe","33","7","62787","56486","8","484","68","1.92","2024-03-11"
"238","Biz_6813","Healthcare","Berea","22","0","120841","136040","17","148","35","0.66","2023-05-26"
"239","Biz_0707","Agriculture","Berea","28","2","118280","36212","3","284","66","0.34","2023-02-03"
"240","Biz_1600","Healthcare","Maseru","22","5","125301","71895","6","164","58","0.63","2022-07-26"
"241","Biz_9364","Agriculture","Berea","24","2","100442","55041","8","395","69","0.53","2023-04-13"
"242","Biz_7060","Technology","Leribe","24","0","13199","18137","8","421","71","0.34","2025-02-15"
"243","Biz_0880","Agriculture","Maseru","19","2","28998","132722","9","97","3","0.57","2025-09-23"
"244","Biz_8502","Education","Leribe","28","6","82511","29206","16","388","46","1.24","2022-05-05"
"245","Biz_5141","Healthcare","Mafeteng","21","4","60427","148311","12","100","10","1.55","2024-05-04"
"246","Biz_9029","Healthcare","Leribe","23","0","172226","62295","8","163","93","0.14","2022-05-30"
"247","Biz_4580","Agriculture","Leribe","27","7","121672","57539","19","291","12","0.59","2024-09-18"
"248","Biz_0083","Healthcare","Mafeteng","33","4","50945","100639","16","267","1","0.51","2025-10-25"
"249","Biz_1338","Education","Maseru","21","7","102244","110275","1","84","70","0.37","2021-10-15"
"250","Biz_7264","Technology","Maseru","18","5","5273","39041","13","450","28","0.21","2024-11-05"
"251","Biz_1797","Technology","Berea","32","7","39518","16995","3","163","52","0.5","2022-02-27"
"252","Biz_4853","Agriculture","Mafeteng","28","6","199737","81784","3","31","5","0.95","2023-01-10"
"253","Biz_0162","Retail","Maseru","22","1","172909","102353","17","17","33","1.52","2022-02-10"
"254","Biz_0560","Retail","Mafeteng","27","0","33623","48284","18","489","66","0.45","2025-10-24"
"255","Biz_0895","Education","Berea","32","3","173224","86794","5","84","43","0.33","2023-11-23"
"256","Biz_4111","Retail","Mafeteng","29","6","95088","88323","11","335","93","1.66","2021-01-12"
"257","Biz_4777","Education","Leribe","34","4","96954","14578","7","287","27","0.92","2021-03-07"
"258","Biz_3723","Healthcare","Maseru","32","4","22465","129554","14","121","66","1.05","2023-11-19"
"259","Biz_0333","Agriculture","Maseru","34","2","140931","115099","17","295","81","1.04","2022-12-18"
"260","Biz_5906","Education","Berea","34","1","14780","96435","19","18","13","1.91","2023-03-10"
"261","Biz_2174","Healthcare","Leribe","33","0","105615","34132","17","439","40","0.29","2022-03-07"
"262","Biz_1298","Education","Leribe","34","4","126251","30495","3","422","8","0.2","2021-11-12"
"263","Biz_1097","Technology","Leribe","25","7","84557","136833","9","61","91","0.24","2022-01-21"
"264","Biz_4162","Education","Leribe","18","1","166929","70848","11","162","4","0.87","2025-05-24"
"265","Biz_3727","Technology","Leribe","27","6","65016","77618","5","316","99","0.33","2022-10-06"
"266","Biz_0382","Education","Leribe","18","7","74134","58879","14","228","86","1.24","2025-10-21"
"267","Biz_7786","Healthcare","Maseru","28","6","7632","41029","14","250","30","0.58","2025-06-07"
"268","Biz_8365","Retail","Maseru","25","7","75652","115240","8","272","32","1.44","2023-12-31"
"269","Biz_2651","Retail","Mafeteng","25","2","78166","6572","14","136","44","0.36","2023-11-11"
"270","Biz_8202","Education","Maseru","34","6","126637","40733","1","248","30","0.35","2023-05-25"
"271","Biz_4326","Education","Mafeteng","28","2","153720","67817","16","79","49","1.38","2021-01-13"
"272","Biz_1822","Healthcare","Leribe","22","2","185157","39074","9","430","10","0.26","2025-02-26"
"273","Biz_1785","Agriculture","Leribe","29","5","24908","86511","13","153","37","1.5","2021-02-11"
"274","Biz_6823","Retail","Leribe","21","3","186109","56215","7","389","59","0.61","2021-09-28"
"275","Biz_0259","Retail","Mafeteng","24","4","158407","115562","17","352","71","1.13","2020-12-12"
"276","Biz_8152","Healthcare","Mafeteng","20","1","118690","51692","4","321","56","0.96","2024-01-07"
"277","Biz_2919","Agriculture","Mafeteng","22","2","186523","54679","7","395","83","1.54","2024-10-22"
"278","Biz_3213","Retail","Maseru","31","5","61591","34413","16","84","44","0.26","2021-01-15"
"279","Biz_3796","Agriculture","Leribe","32","1","7738","94108","4","212","37","1","2023-09-04"
"280","Biz_9623","Education","Berea","29","1","12264","47370","14","8","31","1.54","2022-07-03"
"281","Biz_1914","Technology","Leribe","34","1","174140","134562","17","50","12","0.11","2024-08-22"
"282","Biz_1898","Agriculture","Maseru","27","3","6302","36189","15","462","2","0.2","2021-11-01"
"283","Biz_8861","Education","Berea","20","7","30191","32754","4","228","79","0.54","2024-03-11"
"284","Biz_3268","Healthcare","Berea","28","2","101376","99408","1","381","30","1.3","2021-04-18"
"285","Biz_7321","Education","Leribe","24","1","46600","14511","10","228","49","0.44","2025-02-18"
"286","Biz_7896","Agriculture","Berea","20","4","27756","60431","11","270","5","0.91","2024-12-11"
"287","Biz_0921","Education","Maseru","23","3","135725","9717","7","91","42","1.19","2021-05-29"
"288","Biz_5238","Retail","Maseru","33","3","111669","111767","18","327","30","0.97","2023-07-24"
